;Test Score;NaN;
;Training Score;0.703189;
Variables Names;Number of selections;11.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
AGE-Y;0.000000;0.000000;
